row1,yes,fly,batman,100,black
row2,yes,run,superman,10,red
row3,no,eat,bananaman,30,yellow
row4,yes,fly,spiderman,45,red
row5,no,jump,goatman,33,white
row6,maybe,fight,brave,45,blue
row7,no,wash,cinderella,12,pink
row8,no,freeze,elisa,34,white
row9,yes,steal,robinhood,67,green
row10,no,think,gandalf,86,grey
row11,no,run,catman,84,brown
row12,no,catch,dogman,47,brown
row13,maybe,stink,eggman,58,white
row14,maybe,swim,fishman,58,blue
row15,no,fly,birdman,2,grey
row16,no,fly,flyman,32,black
row17,no,stay,sofaman,77,red
row18,maybe,scream,beast,33,brown
row19,no,hide,goblin,67,green
row20,yes,smile,charming,97,white
row21,yes,stink,shrek,32,green
row22,no,eat,appleman,25,red
row23,maybe,grow,spinachman,65,green
row24,no,hide,antman,37,black
row25,yes,steal,mouseman,76,grey
